timestamp,node,event,rssi_dbm,snr_db,rx_count,data,periode_ms,detail,raw_line
08:59:47.007,S2,TX_DATA,,,,13,,,[TX] S2:DATA:13
08:59:47.039,S1,IGNORE_REPLY,,,,,,S2:DATA:13,[IGNORE] S2:DATA:13
08:59:47.572,S2,IGNORE_POLL,,,,,,POLL:1,[IGNORE] POLL:1
08:59:47.575,S1,RX_POLL,-70,8.75,14,,643,,[RX] POLL:1 | RSSI: -70 dBm | SNR: 8.75 dB | RX#: 14
08:59:47.579,S1,TX_DATA,,,,14,,,[TX] S1:DATA:14
08:59:47.613,S2,IGNORE_REPLY,,,,,,S1:DATA:14,[IGNORE] S1:DATA:14
08:59:48.107,S1,IGNORE_POLL,,,,,,POLL:2,[IGNORE] POLL:2
08:59:48.109,S2,RX_POLL,-73,9.25,14,,1106,,[RX] POLL:2 | RSSI: -73 dBm | SNR: 9.25 dB | RX#: 14
08:59:48.109,S2,TX_DATA,,,,14,,,[TX] S2:DATA:14
08:59:48.144,S1,IGNORE_REPLY,,,,,,S2:DATA:14,[IGNORE] S2:DATA:14
08:59:48.678,S2,IGNORE_POLL,,,,,,POLL:1,[IGNORE] POLL:1
08:59:48.682,S1,RX_POLL,-70,8.5,15,,1106,,[RX] POLL:1 | RSSI: -70 dBm | SNR: 8.50 dB | RX#: 15
08:59:48.682,S1,TX_DATA,,,,15,,,[TX] S1:DATA:15
08:59:48.719,S2,IGNORE_REPLY,,,,,,S1:DATA:15,[IGNORE] S1:DATA:15
08:59:48.751,S1,IGNORE_POLL,,,,,,POLL:2,[IGNORE] POLL:2
08:59:48.752,S2,RX_POLL,-73,9.25,15,,643,,[RX] POLL:2 | RSSI: -73 dBm | SNR: 9.25 dB | RX#: 15
08:59:48.756,S2,TX_DATA,,,,15,,,[TX] S2:DATA:15
08:59:48.791,S1,IGNORE_REPLY,,,,,,S2:DATA:15,[IGNORE] S2:DATA:15
08:59:49.321,S2,IGNORE_POLL,,,,,,POLL:1,[IGNORE] POLL:1
08:59:49.328,S1,RX_POLL,-70,8.75,16,,647,,[RX] POLL:1 | RSSI: -70 dBm | SNR: 8.75 dB | RX#: 16
08:59:49.329,S1,TX_DATA,,,,16,,,[TX] S1:DATA:16
08:59:49.362,S2,IGNORE_REPLY,,,,,,S1:DATA:16,[IGNORE] S1:DATA:16
08:59:49.394,S1,IGNORE_POLL,,,,,,POLL:2,[IGNORE] POLL:2
08:59:49.399,S2,RX_POLL,-73,9.25,16,,647,,[RX] POLL:2 | RSSI: -73 dBm | SNR: 9.25 dB | RX#: 16
08:59:49.399,S2,TX_DATA,,,,16,,,[TX] S2:DATA:16
08:59:49.435,S1,IGNORE_REPLY,,,,,,S2:DATA:16,[IGNORE] S2:DATA:16
08:59:49.968,S2,IGNORE_POLL,,,,,,POLL:1,[IGNORE] POLL:1
08:59:49.971,S1,RX_POLL,-70,8.75,17,,643,,[RX] POLL:1 | RSSI: -70 dBm | SNR: 8.75 dB | RX#: 17
08:59:49.972,S1,TX_DATA,,,,17,,,[TX] S1:DATA:17
08:59:50.009,S2,IGNORE_REPLY,,,,,,S1:DATA:17,[IGNORE] S1:DATA:17
08:59:50.041,S1,IGNORE_POLL,,,,,,POLL:2,[IGNORE] POLL:2
08:59:50.042,S2,RX_POLL,-73,9.0,17,,643,,[RX] POLL:2 | RSSI: -73 dBm | SNR: 9.00 dB | RX#: 17
08:59:50.046,S2,TX_DATA,,,,17,,,[TX] S2:DATA:17
08:59:50.082,S1,IGNORE_REPLY,,,,,,S2:DATA:17,[IGNORE] S2:DATA:17
08:59:50.611,S2,IGNORE_POLL,,,,,,POLL:1,[IGNORE] POLL:1
08:59:50.615,S1,RX_POLL,-70,8.75,18,,644,,[RX] POLL:1 | RSSI: -70 dBm | SNR: 8.75 dB | RX#: 18
08:59:50.619,S1,TX_DATA,,,,18,,,[TX] S1:DATA:18
08:59:50.652,S2,IGNORE_REPLY,,,,,,S1:DATA:18,[IGNORE] S1:DATA:18
08:59:50.684,S1,IGNORE_POLL,,,,,,POLL:2,[IGNORE] POLL:2
08:59:50.689,S2,RX_POLL,-73,9.0,18,,647,,[RX] POLL:2 | RSSI: -73 dBm | SNR: 9.00 dB | RX#: 18
08:59:50.689,S2,TX_DATA,,,,18,,,[TX] S2:DATA:18
08:59:50.725,S1,IGNORE_REPLY,,,,,,S2:DATA:18,[IGNORE] S2:DATA:18
08:59:51.258,S2,IGNORE_POLL,,,,,,POLL:1,[IGNORE] POLL:1
08:59:51.261,S1,RX_POLL,-70,8.75,19,,646,,[RX] POLL:1 | RSSI: -70 dBm | SNR: 8.75 dB | RX#: 19
08:59:51.262,S1,TX_DATA,,,,19,,,[TX] S1:DATA:19
08:59:51.295,S2,IGNORE_REPLY,,,,,,S1:DATA:19,[IGNORE] S1:DATA:19
08:59:51.331,S1,IGNORE_POLL,,,,,,POLL:2,[IGNORE] POLL:2
08:59:51.332,S2,RX_POLL,-73,9.0,19,,643,,[RX] POLL:2 | RSSI: -73 dBm | SNR: 9.00 dB | RX#: 19
08:59:51.333,S2,TX_DATA,,,,19,,,[TX] S2:DATA:19
08:59:51.368,S1,IGNORE_REPLY,,,,,,S2:DATA:19,[IGNORE] S2:DATA:19
08:59:51.901,S2,IGNORE_POLL,,,,,,POLL:1,[IGNORE] POLL:1
08:59:51.905,S1,RX_POLL,-70,8.5,20,,643,,[RX] POLL:1 | RSSI: -70 dBm | SNR: 8.50 dB | RX#: 20
08:59:51.908,S1,TX_DATA,,,,20,,,[TX] S1:DATA:20
08:59:51.942,S2,IGNORE_REPLY,,,,,,S1:DATA:20,[IGNORE] S1:DATA:20
08:59:51.974,S1,IGNORE_POLL,,,,,,POLL:2,[IGNORE] POLL:2
08:59:51.979,S2,RX_POLL,-73,9.25,20,,647,,[RX] POLL:2 | RSSI: -73 dBm | SNR: 9.25 dB | RX#: 20
08:59:51.979,S2,TX_DATA,,,,20,,,[TX] S2:DATA:20
