timestamp,node,raw_line
06:23:43.499,S2,[IGNORE] POLL:1
06:23:43.502,S1,[RX] POLL:1 | RSSI: -62 dBm | SNR: 8.75 dB | RX#: 13
06:23:43.503,S1,[TX] S1:DATA:13
06:23:43.541,S2,[IGNORE] S1:DATA:13
06:23:43.542,MASTER,[RX] S1:DATA:13 | RSSI: -55 dBm | SNR: 9.25 dB
06:23:43.542,MASTER,[TX] POLL:2
06:23:43.572,S1,[IGNORE] POLL:2
06:23:43.577,S2,[RX] POLL:2 | RSSI: -33 dBm | SNR: 8.75 dB | RX#: 14
06:23:43.577,S2,[TX] S2:DATA:14
06:23:43.612,S1,[IGNORE] S2:DATA:14
06:23:43.615,MASTER,[RX] S2:DATA:14 | RSSI: -50 dBm | SNR: 8.00 dB
06:23:43.615,MASTER,--- STATISTIK ---
06:23:43.619,MASTER,S1: OK=13 | FAIL=1 | Data: 13
06:23:43.623,MASTER,S2: OK=14 | FAIL=0 | Data: 14
06:23:43.623,MASTER,Durasi siklus: 149 ms
06:23:43.627,MASTER,========================================
06:23:44.127,MASTER,========================================
06:23:44.127,MASTER,=== CYCLE 15 ===
06:23:44.128,MASTER,[TX] POLL:1
06:23:44.158,S2,[IGNORE] POLL:1
06:23:44.161,S1,[RX] POLL:1 | RSSI: -62 dBm | SNR: 9.00 dB | RX#: 14
06:23:44.161,S1,[TX] S1:DATA:14
06:23:44.195,S2,[IGNORE] S1:DATA:14
06:23:44.200,MASTER,[RX] S1:DATA:14 | RSSI: -55 dBm | SNR: 9.50 dB
06:23:44.201,MASTER,[TX] POLL:2
06:23:44.231,S1,[IGNORE] POLL:2
06:23:44.232,S2,[RX] POLL:2 | RSSI: -33 dBm | SNR: 9.00 dB | RX#: 15
06:23:44.236,S2,[TX] S2:DATA:15
06:23:44.272,S1,[IGNORE] S2:DATA:15
06:23:44.274,MASTER,[RX] S2:DATA:15 | RSSI: -51 dBm | SNR: 7.50 dB
06:23:44.275,MASTER,--- STATISTIK ---
06:23:44.278,MASTER,S1: OK=14 | FAIL=1 | Data: 14
06:23:44.279,MASTER,S2: OK=15 | FAIL=0 | Data: 15
06:23:44.283,MASTER,Durasi siklus: 148 ms
06:23:44.286,MASTER,========================================
06:23:44.783,MASTER,========================================
06:23:44.786,MASTER,=== CYCLE 16 ===
06:23:44.787,MASTER,[TX] POLL:1
06:23:44.813,S2,[IGNORE] POLL:1
06:23:44.817,S1,[RX] POLL:1 | RSSI: -62 dBm | SNR: 9.00 dB | RX#: 15
06:23:44.824,S1,[TX] S1:DATA:15
06:23:44.854,S2,[IGNORE] S1:DATA:15
